id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Mon Feb 18 20:57:55 +0000 2019,234359357,Day 18 - city life  -  - Not much city life going on in the sleepy hollow where I live so hereï¿½s a taste of Barcelona.ï¿½ https://t.co/T0NvRgguNt,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.233
Mon Feb 18 19:50:50 +0000 2019,237216558,"Barcelona, a city of food @ La Boqueria Mercat https://t.co/LJvL9yyKVa",ca,Point,41.38075383,2.17163251,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.561
Mon Feb 18 14:32:59 +0000 2019,915959871463452672,"Barcelona is a city in Spain. It is the capital and largest city of Catalonia, as well as the second most populousï¿½ https://t.co/TqmlHhJvuU",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.028
Mon Feb 18 08:40:44 +0000 2019,2243735198,ATTENTION MINDFUL TRAVELLERS!  - Our job is to look for people who create experiences that give something back to theï¿½ https://t.co/Soa62ww5YO,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.004
Sun Feb 17 06:18:26 +0000 2019,21889509,Night Rider  - ï¿½ - ï¿½ - ï¿½ - ï¿½ - #barcelona #city #speed #race #photographer #winter #invierno #travelphotography #contrastï¿½ https://t.co/zJL42WBNyW,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.371
Sat Feb 16 23:35:59 +0000 2019,561612546,Time to come back home 4 thousands of people outside city. It should be time 4 #Freedom #FreeThemAll &amp;ï¿½ https://t.co/k0Xko9bbCB,en,None,None,None,012d990d01245eb6,None,ES,10,15,city,41.385557,2.163845,1,NEG,0.042
Sat Feb 16 14:59:12 +0000 2019,188754659,"Great time with @heyFatTireTours #Barcelona today, lovely way to see and learn about a city with such ancient and rï¿½ https://t.co/4QjjUQHOQc",en,None,None,None,0ae075a561160000,None,ES,0,8,city,41.385557,2.163845,1,NEG,0.005
Wed Feb 13 20:44:27 +0000 2019,718065572857192449,Wanting to book European city breaks as always! - - - - - - - - #traveleroftheweek #incredibledestinations #suitcasetravelsï¿½ https://t.co/uaRxCdw9pv,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.058
Wed Feb 13 17:18:12 +0000 2019,38628235,Rincones de una ciudad -  - #barcelona #barcelonacity #ciudad #city #urbe #edificios #building #torres #calle #streetï¿½ https://t.co/MXJPyIRbxe,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.965
Thu Feb 21 15:39:55 +0000 2019,308584681,High above the city #Barcelona #parcguell #gaudi https://t.co/apiI1Q8IMP,en,None,None,None,07d9f33620085001,None,ES,0,1,city,41.413435,2.15319,1,POS,0.682
Wed Feb 20 16:22:31 +0000 2019,88696724,"Visiï¿½n es el arte de ver, lo que para otros es INVISIBLE. -   - #volver #barcelona #newbalance #maratondesevilla2019ï¿½ https://t.co/tCD9TB3ywX",es,Point,41.41917814,2.16188294,1a27537478dd8e38,None,ES,0,0,city,41.413435,2.15319,1,POS,0.602
Sat Feb 16 15:39:40 +0000 2019,286879871,"New friends, great times, epic city! @eftours @ Park Gï¿½ell https://t.co/7LJIK8OJR1",en,Point,41.41370308,2.15345471,1a27537478dd8e38,None,ES,0,0,city,41.413435,2.15319,1,POS,0.539
Fri Feb 15 16:13:30 +0000 2019,122624559,Outskirts #Barcelona #parkguell #cityscape #city #landscape #travel #wander #explore #buildings #gentrificationï¿½ https://t.co/tP3fN8TuNG,da,Point,41.41370308,2.15345471,1a27537478dd8e38,None,ES,0,1,city,41.413435,2.15319,1,NEG,0.047
Thu Feb 14 09:34:51 +0000 2019,49135049,"I love a free day during the week. Enjoyed a nice journey visiting Parc Gï¿½ell, in Barcelona. I'm in love with thisï¿½ https://t.co/GefEcmpM7y",en,Point,41.41361111,2.15277778,1a27537478dd8e38,None,ES,0,0,city,41.413435,2.15319,1,NEG,0.199
Wed Feb 20 23:29:28 +0000 2019,1265912568,Seguimos bronceandonos en Portoviejo Rock City https://t.co/grGWWbPEe3,es,Point,41.38144363,2.15281061,1a27537478dd8e38,None,ES,0,1,city,41.373693,2.151002,1,POS,0.612
Fri Feb 15 11:14:39 +0000 2019,78496310,I had no idea that Barcelona was a hub for #celiac and #glutenfree eating. I learned today that the city decided toï¿½ https://t.co/5Ns1EpA8jh,en,None,None,None,0e81297cfb56d000,None,ES,0,5,city,41.373693,2.151002,1,NEG,0.016
Wed Feb 13 22:14:01 +0000 2019,749013165875335168,ï¿½A visit to Marrakech was a great shock to me. This city taught me colorï¿½.(YSL) I totally agree #quotesofthedayï¿½ https://t.co/sqgT4BaH2K,en,None,None,None,07d9e5abccc80001,None,,0,1,city,41.373693,2.151002,1,NEG,0.021
Fri Feb 22 22:09:45 +0000 2019,233668935,Quina injusticia tant porca tenir Alex lï¿½pez desconvocat cada partit. Quina manera de fer mal a lequip i a l'espectï¿½ https://t.co/GtaYYrja75,ca,None,None,None,37ded68f419372ee,None,ES,0,0,city,41.309457,2.092745,1,NEG,0.186
Sat Feb 23 16:44:12 +0000 2019,630347654,Reunited..... Together again! #southafrica #barcelona #malaga #city #weekend #amazing #friends #volunteeringï¿½ https://t.co/HX7mQY8Q1x,en,Point,41.3767837,2.17672986,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.15
Fri Feb 22 23:15:35 +0000 2019,985211101158825985,Ven a disfrutar BCN y una variedad de  Premium Gins reciï¿½n llegadas a BCN. Come enjoy Gin City &amp; a variety of Premiï¿½ https://t.co/IuhBSxNjDh,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,POS,0.541
Fri Feb 22 10:28:13 +0000 2019,64718034,Spain 2017. First day at the beach in the beautiful old city of #barcelona #spain #europe #europetravel #travelgramï¿½ https://t.co/LEGAMB5R0d,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.063
Wed Feb 20 18:23:50 +0000 2019,132992150,Sigo con los detalles. Esta vez en lo alto. - . -  . - #landmark #architecture #classicalarchitecture #statue #monumentï¿½ https://t.co/5RmSqYrJ82,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,POS,0.969
Wed Feb 20 04:43:09 +0000 2019,276826260,"Iï¿½m bout to spread like a wildfire around the globe. I put that on my Dad! Book me today in any city, state or counï¿½ https://t.co/PRujLVzjdp",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.004
Tue Feb 19 21:10:31 +0000 2019,147237955,"Una mirada per sobre #barcelona #urban #city #bcnmoltmes #catalunya #instagram #localguides #catalonia @ Barcelona,ï¿½ https://t.co/yHsb9444eZ",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,0,city,41.3851,2.1734,1,NEG,0.07
Mon Feb 18 20:57:55 +0000 2019,234359357,Day 18 - city life  -  - Not much city life going on in the sleepy hollow where I live so hereï¿½s a taste of Barcelona.ï¿½ https://t.co/T0NvRgguNt,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.233
Mon Feb 18 19:50:50 +0000 2019,237216558,"Barcelona, a city of food @ La Boqueria Mercat https://t.co/LJvL9yyKVa",ca,Point,41.38075383,2.17163251,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,POS,0.561
Mon Feb 18 14:32:59 +0000 2019,915959871463452672,"Barcelona is a city in Spain. It is the capital and largest city of Catalonia, as well as the second most populousï¿½ https://t.co/TqmlHhJvuU",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.028
Mon Feb 18 08:40:44 +0000 2019,2243735198,ATTENTION MINDFUL TRAVELLERS!  - Our job is to look for people who create experiences that give something back to theï¿½ https://t.co/Soa62ww5YO,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.004
Sun Feb 17 06:18:26 +0000 2019,21889509,Night Rider  - ï¿½ - ï¿½ - ï¿½ - ï¿½ - #barcelona #city #speed #race #photographer #winter #invierno #travelphotography #contrastï¿½ https://t.co/zJL42WBNyW,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.371
Sat Feb 16 14:59:12 +0000 2019,188754659,"Great time with @heyFatTireTours #Barcelona today, lovely way to see and learn about a city with such ancient and rï¿½ https://t.co/4QjjUQHOQc",en,None,None,None,0ae075a561160000,None,ES,0,8,city,41.3851,2.1734,1,NEG,0.005
Fri Feb 22 23:15:35 +0000 2019,985211101158825985,Ven a disfrutar BCN y una variedad de  Premium Gins reciï¿½n llegadas a BCN. Come enjoy Gin City &amp; a variety of Premiï¿½ https://t.co/IuhBSxNjDh,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.541
Fri Feb 22 10:28:13 +0000 2019,64718034,Spain 2017. First day at the beach in the beautiful old city of #barcelona #spain #europe #europetravel #travelgramï¿½ https://t.co/LEGAMB5R0d,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.063
Wed Feb 20 23:29:28 +0000 2019,1265912568,Seguimos bronceandonos en Portoviejo Rock City https://t.co/grGWWbPEe3,es,Point,41.38144363,2.15281061,1a27537478dd8e38,None,ES,0,1,city,41.385557,2.163845,1,POS,0.612
Wed Feb 20 18:23:50 +0000 2019,132992150,Sigo con los detalles. Esta vez en lo alto. - . -  . - #landmark #architecture #classicalarchitecture #statue #monumentï¿½ https://t.co/5RmSqYrJ82,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.969
Wed Feb 20 04:43:09 +0000 2019,276826260,"Iï¿½m bout to spread like a wildfire around the globe. I put that on my Dad! Book me today in any city, state or counï¿½ https://t.co/PRujLVzjdp",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.004
Tue Feb 19 21:10:31 +0000 2019,147237955,"Una mirada per sobre #barcelona #urban #city #bcnmoltmes #catalunya #instagram #localguides #catalonia @ Barcelona,ï¿½ https://t.co/yHsb9444eZ",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,0,city,41.385557,2.163845,1,NEG,0.07
Mon Feb 18 20:57:55 +0000 2019,234359357,Day 18 - city life  -  - Not much city life going on in the sleepy hollow where I live so hereï¿½s a taste of Barcelona.ï¿½ https://t.co/T0NvRgguNt,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.233
Mon Feb 18 19:50:50 +0000 2019,237216558,"Barcelona, a city of food @ La Boqueria Mercat https://t.co/LJvL9yyKVa",ca,Point,41.38075383,2.17163251,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.561
Mon Feb 18 14:32:59 +0000 2019,915959871463452672,"Barcelona is a city in Spain. It is the capital and largest city of Catalonia, as well as the second most populousï¿½ https://t.co/TqmlHhJvuU",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.028
Mon Feb 18 08:40:44 +0000 2019,2243735198,ATTENTION MINDFUL TRAVELLERS!  - Our job is to look for people who create experiences that give something back to theï¿½ https://t.co/Soa62ww5YO,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.004
Sun Feb 17 06:18:26 +0000 2019,21889509,Night Rider  - ï¿½ - ï¿½ - ï¿½ - ï¿½ - #barcelona #city #speed #race #photographer #winter #invierno #travelphotography #contrastï¿½ https://t.co/zJL42WBNyW,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.371
Sat Feb 16 23:35:59 +0000 2019,561612546,Time to come back home 4 thousands of people outside city. It should be time 4 #Freedom #FreeThemAll &amp;ï¿½ https://t.co/k0Xko9bbCB,en,None,None,None,012d990d01245eb6,None,ES,10,15,city,41.385557,2.163845,1,NEG,0.042
Sat Feb 16 14:59:12 +0000 2019,188754659,"Great time with @heyFatTireTours #Barcelona today, lovely way to see and learn about a city with such ancient and rï¿½ https://t.co/4QjjUQHOQc",en,None,None,None,0ae075a561160000,None,ES,0,8,city,41.385557,2.163845,1,NEG,0.005
Wed Feb 13 20:44:27 +0000 2019,718065572857192449,Wanting to book European city breaks as always! - - - - - - - - #traveleroftheweek #incredibledestinations #suitcasetravelsï¿½ https://t.co/uaRxCdw9pv,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.058
Wed Feb 13 17:18:12 +0000 2019,38628235,Rincones de una ciudad -  - #barcelona #barcelonacity #ciudad #city #urbe #edificios #building #torres #calle #streetï¿½ https://t.co/MXJPyIRbxe,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.965
Thu Feb 21 15:39:55 +0000 2019,308584681,High above the city #Barcelona #parcguell #gaudi https://t.co/apiI1Q8IMP,en,None,None,None,07d9f33620085001,None,ES,0,1,city,41.413435,2.15319,1,POS,0.682
Wed Feb 20 16:22:31 +0000 2019,88696724,"Visiï¿½n es el arte de ver, lo que para otros es INVISIBLE. -   - #volver #barcelona #newbalance #maratondesevilla2019ï¿½ https://t.co/tCD9TB3ywX",es,Point,41.41917814,2.16188294,1a27537478dd8e38,None,ES,0,0,city,41.413435,2.15319,1,POS,0.602
Sat Feb 16 15:39:40 +0000 2019,286879871,"New friends, great times, epic city! @eftours @ Park Gï¿½ell https://t.co/7LJIK8OJR1",en,Point,41.41370308,2.15345471,1a27537478dd8e38,None,ES,0,0,city,41.413435,2.15319,1,POS,0.539
Fri Feb 15 16:13:30 +0000 2019,122624559,Outskirts #Barcelona #parkguell #cityscape #city #landscape #travel #wander #explore #buildings #gentrificationï¿½ https://t.co/tP3fN8TuNG,da,Point,41.41370308,2.15345471,1a27537478dd8e38,None,ES,0,1,city,41.413435,2.15319,1,NEG,0.047
Thu Feb 14 09:34:51 +0000 2019,49135049,"I love a free day during the week. Enjoyed a nice journey visiting Parc Gï¿½ell, in Barcelona. I'm in love with thisï¿½ https://t.co/GefEcmpM7y",en,Point,41.41361111,2.15277778,1a27537478dd8e38,None,ES,0,0,city,41.413435,2.15319,1,NEG,0.199
Wed Feb 20 23:29:28 +0000 2019,1265912568,Seguimos bronceandonos en Portoviejo Rock City https://t.co/grGWWbPEe3,es,Point,41.38144363,2.15281061,1a27537478dd8e38,None,ES,0,1,city,41.373693,2.151002,1,POS,0.612
Fri Feb 15 11:14:39 +0000 2019,78496310,I had no idea that Barcelona was a hub for #celiac and #glutenfree eating. I learned today that the city decided toï¿½ https://t.co/5Ns1EpA8jh,en,None,None,None,0e81297cfb56d000,None,ES,0,5,city,41.373693,2.151002,1,NEG,0.016
Wed Feb 13 22:14:01 +0000 2019,749013165875335168,ï¿½A visit to Marrakech was a great shock to me. This city taught me colorï¿½.(YSL) I totally agree #quotesofthedayï¿½ https://t.co/sqgT4BaH2K,en,None,None,None,07d9e5abccc80001,None,,0,1,city,41.373693,2.151002,1,NEG,0.021
Fri Feb 22 22:09:45 +0000 2019,233668935,Quina injusticia tant porca tenir Alex lï¿½pez desconvocat cada partit. Quina manera de fer mal a lequip i a l'espectï¿½ https://t.co/GtaYYrja75,ca,None,None,None,37ded68f419372ee,None,ES,0,0,city,41.309457,2.092745,1,NEG,0.186
Sat Feb 23 16:44:12 +0000 2019,630347654,Reunited..... Together again! #southafrica #barcelona #malaga #city #weekend #amazing #friends #volunteeringï¿½ https://t.co/HX7mQY8Q1x,en,Point,41.3767837,2.17672986,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.15
Fri Feb 22 23:15:35 +0000 2019,985211101158825985,Ven a disfrutar BCN y una variedad de  Premium Gins reciï¿½n llegadas a BCN. Come enjoy Gin City &amp; a variety of Premiï¿½ https://t.co/IuhBSxNjDh,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,POS,0.541
Fri Feb 22 10:28:13 +0000 2019,64718034,Spain 2017. First day at the beach in the beautiful old city of #barcelona #spain #europe #europetravel #travelgramï¿½ https://t.co/LEGAMB5R0d,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.063
Wed Feb 20 18:23:50 +0000 2019,132992150,Sigo con los detalles. Esta vez en lo alto. - . -  . - #landmark #architecture #classicalarchitecture #statue #monumentï¿½ https://t.co/5RmSqYrJ82,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,POS,0.969
Wed Feb 20 04:43:09 +0000 2019,276826260,"Iï¿½m bout to spread like a wildfire around the globe. I put that on my Dad! Book me today in any city, state or counï¿½ https://t.co/PRujLVzjdp",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.004
Tue Feb 19 21:10:31 +0000 2019,147237955,"Una mirada per sobre #barcelona #urban #city #bcnmoltmes #catalunya #instagram #localguides #catalonia @ Barcelona,ï¿½ https://t.co/yHsb9444eZ",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,0,city,41.3851,2.1734,1,NEG,0.07
Mon Feb 18 20:57:55 +0000 2019,234359357,Day 18 - city life  -  - Not much city life going on in the sleepy hollow where I live so hereï¿½s a taste of Barcelona.ï¿½ https://t.co/T0NvRgguNt,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.233
Mon Feb 18 19:50:50 +0000 2019,237216558,"Barcelona, a city of food @ La Boqueria Mercat https://t.co/LJvL9yyKVa",ca,Point,41.38075383,2.17163251,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,POS,0.561
Mon Feb 18 14:32:59 +0000 2019,915959871463452672,"Barcelona is a city in Spain. It is the capital and largest city of Catalonia, as well as the second most populousï¿½ https://t.co/TqmlHhJvuU",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.028
Mon Feb 18 08:40:44 +0000 2019,2243735198,ATTENTION MINDFUL TRAVELLERS!  - Our job is to look for people who create experiences that give something back to theï¿½ https://t.co/Soa62ww5YO,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.004
Sun Feb 17 06:18:26 +0000 2019,21889509,Night Rider  - ï¿½ - ï¿½ - ï¿½ - ï¿½ - #barcelona #city #speed #race #photographer #winter #invierno #travelphotography #contrastï¿½ https://t.co/zJL42WBNyW,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.3851,2.1734,1,NEG,0.371
Sat Feb 16 14:59:12 +0000 2019,188754659,"Great time with @heyFatTireTours #Barcelona today, lovely way to see and learn about a city with such ancient and rï¿½ https://t.co/4QjjUQHOQc",en,None,None,None,0ae075a561160000,None,ES,0,8,city,41.3851,2.1734,1,NEG,0.005
Fri Feb 22 23:15:35 +0000 2019,985211101158825985,Ven a disfrutar BCN y una variedad de  Premium Gins reciï¿½n llegadas a BCN. Come enjoy Gin City &amp; a variety of Premiï¿½ https://t.co/IuhBSxNjDh,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.541
Fri Feb 22 10:28:13 +0000 2019,64718034,Spain 2017. First day at the beach in the beautiful old city of #barcelona #spain #europe #europetravel #travelgramï¿½ https://t.co/LEGAMB5R0d,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.063
Wed Feb 20 23:29:28 +0000 2019,1265912568,Seguimos bronceandonos en Portoviejo Rock City https://t.co/grGWWbPEe3,es,Point,41.38144363,2.15281061,1a27537478dd8e38,None,ES,0,1,city,41.385557,2.163845,1,POS,0.612
Wed Feb 20 18:23:50 +0000 2019,132992150,Sigo con los detalles. Esta vez en lo alto. - . -  . - #landmark #architecture #classicalarchitecture #statue #monumentï¿½ https://t.co/5RmSqYrJ82,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.969
Wed Feb 20 04:43:09 +0000 2019,276826260,"Iï¿½m bout to spread like a wildfire around the globe. I put that on my Dad! Book me today in any city, state or counï¿½ https://t.co/PRujLVzjdp",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.004
Tue Feb 19 21:10:31 +0000 2019,147237955,"Una mirada per sobre #barcelona #urban #city #bcnmoltmes #catalunya #instagram #localguides #catalonia @ Barcelona,ï¿½ https://t.co/yHsb9444eZ",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,0,city,41.385557,2.163845,1,NEG,0.07
Mon Feb 18 20:57:55 +0000 2019,234359357,Day 18 - city life  -  - Not much city life going on in the sleepy hollow where I live so hereï¿½s a taste of Barcelona.ï¿½ https://t.co/T0NvRgguNt,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.233
Mon Feb 18 19:50:50 +0000 2019,237216558,"Barcelona, a city of food @ La Boqueria Mercat https://t.co/LJvL9yyKVa",ca,Point,41.38075383,2.17163251,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,POS,0.561
Mon Feb 18 14:32:59 +0000 2019,915959871463452672,"Barcelona is a city in Spain. It is the capital and largest city of Catalonia, as well as the second most populousï¿½ https://t.co/TqmlHhJvuU",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,city,41.385557,2.163845,1,NEG,0.028
